"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.04647,-34.94532,-89.2671428571429,-91.93,-93.34,-95.595,-90.9375,-84.135,-84.315,-78.44,-96.92,3,3,7,9601
-8.05462,-34.94965,-89.826,-92.24,-93.3,-85.67,-86.8170833333333,-73.67,-91.1766666666667,-87.994,-96.3725,5,2,4,7452
-8.0469,-34.94518,-89.8114285714286,-89.4,-92.2535714285714,-83.14,-90.9375,-89.53,-88.4648333333333,-80.7506666666667,-96.92,4,3,7,9539
-8.04856,-34.95126,-79.1457142857143,-95.01,-87.0857142857143,-90.26,-94.5725,-87.4442857142857,-89.9866666666667,-98.012,-98.6525,2,4,4,9169
-8.05207,-34.94749,-88.48,-91.1285714285714,-93.2285714285714,-57.71,-75.46,-85.91,-87.8933333333333,-96.138,-97.6,5,1,5,8093
-8.05143,-34.95835,-87.6414285714286,-96.3728571428571,-84.3242857142857,-99.9116666666667,-96.9575,-91.4485714285714,-83.2516666666667,-98.266,-78.38,5,6,2,8431
-8.05889,-34.9484,-84.92,-91.75,-85.8,-95.3128571428571,-64.92,-84.48,-92.43,-88.3658333333333,-95.8575,8,3,5,6659
-8.05096,-34.9596,-79.9885714285714,-95.6,-77.03,-99.26,-94.9675,-88.9514285714286,-90.1316666666667,-102.204,-87.66,5,7,2,8575
-8.04686,-34.95058,-89.02,-76.9042857142857,-85.7128571428571,-93.6866666666667,-94.7625,-89.7132142857143,-90,-99.034,-94.4075,2,4,5,9544
-8.05444,-34.9562,-92.8761904761905,-98.7371428571429,-89.9028571428571,-101.7375,-101.5175,-98.22,-78.3476666666667,-79.06,-95.28,6,5,1,7504
-8.05531,-34.94654,-83.6028571428571,-82.5478571428572,-87.99,-82.23,-70.955,-67.7228571428572,-85.87,-92.03,-97.255,6,1,5,7276
-8.05862,-34.94931,-91.8014285714286,-93.0442857142857,-91.8728571428571,-98.44,-89.5858333333333,-83.8914285714286,-91.915,-98.05,-95.8575,7,3,4,6681
-8.05012,-34.95956,-87.7,-97.2514285714286,-82.8442857142857,-98.7733333333333,-97.725,-93.81,-82.37,-102.688,-88.46,5,7,3,8786
-8.05223,-34.94768,-88.98,-88.3685714285714,-91.43,-56.17,-76.92,-69.5471428571429,-88.2616666666667,-94.332,-97.6,5,1,5,8003
-8.05233,-34.9469,-88.3285714285714,-90.7114285714286,-90.0071428571429,-58.98,-80.92,-85.5028571428572,-89.99,-90.804,-97.6,5,1,5,7945
-8.0556,-34.95431,-90.0257142857143,-96.2,-97.34,-101.05,-91.935,-92.6714285714286,-78.6366666666667,-68.34,-96.91,6,5,2,7045
-8.05166,-34.94955,-95.47,-92.6485714285714,-95.15,-71.08,-81.065,-87.2828571428571,-91.9416666666667,-96.142,-97.7875,4,2,4,8339
-8.05569,-34.95498,-94.1357142857143,-97.1028571428571,-94.32,-95.065,-92.6075,-91.4114285714286,-79.755,-74.244,-92.615,6,5,1,6979
-8.05202,-34.9511,-85.4342857142857,-93.1328571428571,-97.27,-85.64,-87.5375,-90.1457142857143,-92.0466666666667,-96.93,-95.605,4,3,4,8115
-8.04851,-34.95872,-85.7885714285714,-92.3842857142857,-89.6157142857143,-101.56,-97.4425,-95.1042857142857,-84.17,-106.544,-86.33,4,7,3,9199
-8.04681,-34.9506,-80.01,-75.40875,-93.33,-96.59,-94.7625,-89.7132142857143,-90,-99.034,-94.4075,2,4,5,9547
-8.05071,-34.9477,-96.1642857142857,-97.9,-94.76,-65.19,-84.57,-91.8171428571428,-96.955,-97.98,-98.9125,4,2,5,8626
-8.05188,-34.94772,-95.48,-94.94,-90.7971428571429,-60.27,-75.7875,-79.2528571428571,-91.0816666666667,-98.048,-97.6,4,2,5,8224
-8.05226,-34.94828,-87.1914285714286,-86.2314285714286,-89.5042857142857,-68.21,-82.0725,-94.22,-87.3266666666667,-91.07,-97.255,5,2,5,7964
-8.05533,-34.9592,-84.9542857142857,-100.288571428571,-79.01,-94.765,-100.225,-81.1642857142857,-87.6566666666667,-85.38,-60.27,7,7,1,7264
